#GENE	CONDITION	INHERITANCE	AGE GROUP
DPM3	Congenital disorder of glycosylation, type Io	AR	Pediatric
DPP6	Ventricular fibrillation, paroxysmal familial, 2	AD	Pediatric
DPY19L2	Spermatogenic failure 9; Globozoospermia	AR	N/A
DPYD	5-fluorouracil toxicity	AD/AR	Pediatric
DPYS	Dihydropyriminidase deficiency	AR	Pediatric
DRAM2	Cone-rod dystrophy 21	AR	N/A
DRD2	Myoclonic dystonia	AD	N/A
DSC2	Arrhythmogenic right ventricular dysplasia, familial, 11; Arrhythmogenic right ventricular dysplasia with  palmoplantar keratoderma and woolly hair	AD/AR	Pediatric (Arrhythmogenic right ventricular dysplasia with  palmoplantar keratoderma and woolly hair); Adult (Arrhythmogenic right ventricular dysplasia, familial, 11)
DSC3	Hypotrichosis and recurrent skin vesicles	AR	N/A
DSE	Ehlers-Danlos syndrome, musculocontractural type 2	AR	Pediatric
DSG1	Severe dermatitis, multiple allergies, and metabolic wasting syndrome (SAM syndrome)	AR	Pediatric
DSG2	Cardiomyopathy, dilated, 1BB; Arrhythmogenic right ventricular dysplasia, familial, 10	AD	Pediatric
DSG4	Hypotrichosis 6	AR	N/A
DSP	Arrhythmogenic right ventricular dysplasia, familial 8; Cardiomyopathy, dilated, with wooly hair and keratoderma; Cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis	AD/AR	Pediatric
DSPP	Deafness, autosomal dominant, 39, with dentinogenesis imperfecta 1; Dentinogenesis imperfecta, Shields type II; Dentinogenesis imperfecta, Shields type III; Dentin dysplasia, type II  	AD	N/A
DST	Neuropathy, hereditary sensory and autonomic, type VI	AR	N/A
DSTYK	Congenital anomalies of the kidney and urinary tract 1	AD	Pediatric
DTNA	Left ventricular noncompaction 1	AD	Pediatric
DTNBP1	Hermansky-Pudlak syndrome 7	AR	Pediatric
DUOX2	Thyroid dyshormonogenesis 6	AD/AR	Pediatric
DUOXA2	Thyroid dyshormonogenesis 5	AR	Pediatric
DUSP6	Hypogonadotropic hypogonadism 19, with or without anosmia	AD/Digenic	Pediatric
DUX4	Facioscapulohumeral muscular dystrophy, type 2	Digenic (involving a SMCHD1 mutation and a permissive D4Z4 haplotype)	N/A
DVL1	Robinow syndrome, autosomal dominant 2	AD	N/A
DYM	Dyggve-Melchior-Clausen disease; Smith-McCort dysplasia	AR	N/A
DYNC1H1	Charcot-Marie-Tooth disease, axonal, type 2O; Mental retardation, autosomal dominant 13; Spinal muscular atrophy, lower extremity, autosomal dominant 	AD	N/A
DYNC2H1	Short-rib thoracic dysplasia 3 with or without polydactyly	AR/Digenic 	N/A
DYRK1A	Mental retardation, autosomal dominant 7	AD	N/A
DYRK1B	Abdominal obesity-metabolic syndrome 3	AD	Adult
DYSF	Miyoshi muscular dystrophy 1; Muscular dystrophy, limb-girdle, type 2B; Myopathy, distal, with anterior tibial onset	AD/AR	Pediatric
DYX1C1	Ciliary dyskinesia, primary 25	AR	Pediatric
EARS2	Combined oxidative phosphorylation deficiency 12	AR	N/A
EBP	Chondrodysplasia punctata 2, X-linked dominant; Male EBP disorder with neurologic defects (MEND)	XL	N/A
ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction	AD	N/A
ECEL1	Arthrogryposis, distal, type 5D	AR	N/A
ECHS1	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	AR	N/A
ECM1	Lipoid proteinosis	AR	N/A
EDA	Ectodermal dysplasia, anhidrotic, X-linked; Ectodermal dysplasia, hypohidrotic, X-linked;  Tooth agenesis, selective, X-linked, 1 (XL)	XL	N/A
EDAR	Ectodermal dysplasia, anhidrotic, autosomal recessive; Ectodermal dysplasia, anhidrotic, autosomal dominant; Hair morphology 1	AD/AR	N/A
EDARADD	Ectodermal dysplasia, anhidrotic, autosomal recessive; Ectodermal dysplasia, anhidrotic, autosomal dominant; Ectodermal dysplasia, hypohidrotic, autosomal dominant; Ectodermal dysplasia, hypohidrotic, autosomal recessive	AD/AR	N/A
EDC3	Mental retardation, autosomal recessive 50	AR	N/A
EDN1	Dominant Isolated Question-Mark Ears; Auriculocondylar Syndrome 3	AD/AR	N/A
EDN3	Waardenburg syndrome, type 4B; Central hypoventilation syndrome, congenital; Hirschsprung disease, susceptibility to, 4	AD/AR	Pediatric
EDNRA	Mandibulofacial dysostosis with alopecia	AD	Pediatric
EDNRB	Waardenburg syndrome type 4A; ABCD syndrome; Hirschsprung disease, susceptibility to, 2	AD/AR	Pediatric
EEF1A2	Epileptic encephalopathy, early infantile, 33; Mental retardation, autosomal dominant 28	AD	N/A
EFEMP1	Doyne honeycomb degeneration of retina; Malattia leventinese 	AD/AR	N/A
EFEMP2	Cutis laxa, autosomal recessive type IB	AR	Pediatric
EFHC1	Epilepsy, myoclonic juvenile; Epilepsy, juvenile absence, susceptibility to, 1; Epilepsy, severe intractable	AD/AR	N/A
EFNB1	Craniofrontonasal dysplasia	XL	N/A
EFTUD2	Mandibulofacial dysostosis with microcephaly; Esophageal atresia, syndromic	AD	Pediatric
EGF	Hypomagnesemia 4, renal	AR	Pediatric
EGFR	Acute myeloid leukemia, familial; Lung cancer, familial, susceptibilty to; Inflammatory skin and bowel disease, neonatal, 2	AD/AR	Pediatric
EGLN1	Erythrocytosis, familial, 3	AD	Pediatric
EGR2	Charcot-Marie-Tooth disease, demyelinating, type 1D; Neuropathy, congenital hypomyelinating, 1 ; Dejerine-Sottas disease	AD/AR	N/A
EHHADH	Fanconi renotubular syndrome 3	AD	Pediatric
EHMT1	Kleefstra syndrome	AD	N/A
EIF2AK3	Wolcott-Rallison syndrome	AR	Pediatric
EIF2AK4	Pulmonary venoocclusive disease 2	AR	Pediatric
EIF2B1	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR	Pediatric
EIF2B2	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR	Pediatric
EIF2B3	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR	Pediatric
EIF2B4	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR	Pediatric
EIF2B5	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR	Pediatric
EIF4A3	Richieri-Costa-Pereira Syndrome	AR	N/A
EIF4G1	Parkinson disease 18; Macular dystrophy with central cone involvement	AD/AR	N/A
ELAC2	Combined oxidative phosphorylation deficiency 17	AR	Pediatric
ELANE	Neutropenia, severe congenital 1, autosomal dominant; Neutropenia, cyclic	AD	Pediatric
ELMOD3	Deafness, autosomal recessive 88	AR	Pediatric
ELN	Cutis laxa, autosomal dominant 1; Supravalvular aortic stenosis	AD	Pediatric
ELOVL4	Icthyosis, spastic quadriplegia, and mental retardation; Spinocerebellar ataxia 34; Startgardt disease 3	AD/AR	N/A
ELOVL5	Spinocerebellar ataxia 39	AD	N/A
EMD	Emery-Dreifuss muscular dystrophy 1, X-linked	XL	Pediatric
EMG1	Bowen-Conradi syndrome	AR	N/A
EMP2	Nephrotic syndrome, type 10	AR	N/A
EMX2	Schizencephaly	AD	N/A
ENAM	Amelogenesis imperfecta, type IB; Amelogenesis imperfecta, type IC	AR	N/A
ENG	Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis syndrome	AD	Pediatric
ENO3	Glycogen storage disease XIII	AR	N/A
ENPP1	Hypophosphatemic rickets, autosomal recessive 2; Arterial calcification, generalized, of infancy, 1	AR	Pediatric
ENTPD1	Spastic paraplegia 64	AR	N/A
EOGT	Adams-Oliver syndrome 4	AR	N/A
EP300	Rubinstein-Taybi syndrome 2	AD	N/A
EPAS1	Erthyrocytosis, familial 4	AD	Pediatric
EPB41	Ellipsocytosis 1	AR	Pediatric
EPB41L1	Mental retardation, autosomal dominant 11	AD	N/A
EPB42	Spherocytosis, type 5	AR	Pediatric
EPCAM	Colorectal cancer, hereditary nonpolyposis, type 8; Diarrhea 5, with tufting enteropathy, congenital	AD/AR	Pediatric
EPG5	Vici syndrome	AR	Pediatric
EPHA2	Cataract 6, multiple types	AD	N/A
EPHX1	Hypercholanemia, familial	AR	Pediatric
EPM2A	Epilepsy, progressive myoclonic 2A (Lafora)	AR	N/A
EPOR	Erythrocytosis, familial, 1	AD	Pediatric
EPS8	Deafness, autosomal recessive 102	AR	Pediatric
EPX	Eosinophil peroxidase deficiency	AR	N/A
ERBB3	Lethal congenital contractural syndrome 2	AR	N/A
ERBB4	Amyotrophic lateral sclerosis 19	AD	N/A
ERCC1	Cerebrooculofacioskeletal syndrome 4	AR	N/A
ERCC2	Trichothiodystrophy 1, photosensitive; Xeroderma pigmentosum, group D	AR	Pediatric
ERCC3	Xeroderma pigmentosum, complementation group B; Trichothiodystrophy 2, photosensitive	AR	Pediatric
ERCC4	Fanconi anemia, complementation group Q; Xeroderma pigmentosum, group F	AR	Pediatric
ERCC5	Xeroderma pigmentosum, group G; Xeroderma pigmentosum, group G/Cockayne syndrome	AR	Pediatric
ERCC6	Xeroderma Pigmentosum-Cockayne Syndrome; De Sanctis-Cacchione syndrome	AD/AR	Pediatric
ERCC6L2	Bone marrow failure syndrome 2	AR	Pediatric
ERCC8	UV-sensitive syndrome 2; Cockayne syndrome type A	AR	N/A
ERLIN2	Spastic paraplegia 18, autosomal recessive	AR	N/A
ERMAP	Blood group, Scianna system; Blood group, Radin	BG	Pediatric
ERMARD	Periventricular nodular heterotopia 6	AD	N/A
ESAM	Schizophrenia	AD	N/A
ESCO2	SC phocomelia syndrome; Roberts syndrome	AR	N/A
ESPN	Deafness, autosomal dominant, without vestibular involvement; Deafness, autosomal recessive 36	AD/AR	Pediatric
ESR1	Estrogen resistance	AR	N/A
ESRRB	Deafness, autosomal recessive 35	AR	Pediatric
ETFA	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric
ETFB	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric
ETFDH	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric
ETHE1	Ethylmalonic encephalopathy	AR	Pediatric
ETV6	Thrombocytopenia 5	AD	Pediatric
EVC	Ellis-van Creveld syndrome; Weyers acrofacial dysostosis	AD/AR	N/A
EVC2	Ellis-van Creveld syndrome; Weyers acrodental dysostosis	AD/AR	N/A
EXOSC3	Pontocerebellar hypoplasia type 1B	AR	N/A
EXOSC8	Pontocerebellar hypoplasia, type 1C	AR	N/A
EXPH5	Epidermolysis bullosa, nonspecific, autosomal recessive	AR	N/A
EXT1	Exostoses, multiple, type 1	AD	Pediatric
EXT2	Exostoses, multiple, type 2	AD	Pediatric
EYA1	Branchiootic syndrome 1; Branchiootorenal syndrome 1; Otofaciocervical syndrome	AD	Pediatric
EYA4	Cardiomyopathy, dilated, 1J	AD	Adult
EYS	Retitinis pigmentosa 25	AR	N/A
EZH2	Weaver syndrome	AD	N/A
F10	Factor X deficiency	AR	Pediatric
F11	Factor XI deficiency	AD/AR	Pediatric
F12	Angioedema, hereditary, type III	AD/AR	Pediatric
F13A1	Factor XIIIA deficiency	AR	Pediatric
F13B	Factor XIIIB deficiency	AR	Pediatric
F2	Prothrombin deficiency, congenital; Thrombophilia due to thrombin defect 	AD/AR	Pediatric
F5	Thrombophilia due to activated protein C resistance; Factor V deficiency	AD/AR	Pediatric
F7	Factor VII deficiency	AR	Pediatric
F8	Hemophilia A	XL	Pediatric
F9	Hemophilia B; Thrombophilia, X-linked, due to factor IX defect; Warfarin sensitivity	XL	Pediatric
FA2H	Spastic paraplegia 35, autosomal recessive	AR	N/A
FADD	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations	AR	Pediatric
FAH	Tyrosinemia, type I	AR	Pediatric
FAM111A	Kenny-Caffey syndrome, type 2	AD	Pediatric
FAM111B	Hereditary Fibrosing Poikiloderma with Tendon Contracture, Myopathy, and Pulmonary Fibrosis	AD	N/A
FAM126A	Leukodystrophy, hypomyelinating, 5	AR	N/A
FAM134B	Neuropathy, hereditary sensory and autonomic, type IIB	AR	N/A
FAM161A	Retitinis pigmentosa 28	AR	N/A
FAM20A	Amelogenesis imperfecta, type IG (Enamel-renal syndrome)	AR	N/A
FAM20C	Hypophosphatemia,hyperphosphaturia, dental anomalies, intracerebral calcifications and osteosclerosis (Raine syndrome)	AR	Pediatric
FAM58A	STAR syndrome; Toe syndactyly, telecanthus, and anogenital and renal malformations	XL	N/A
FAM65B	Deafness, autosomal recessive 104	AR	Pediatric
FAM83H	Amelogenesis imperfecta, type 3	AD	N/A
FAN1	Interstitial nephritis, karyomegalic	AR	N/A
FANCA	Fanconi anemia, complementation group A	AR	Pediatric
FANCB	Fanconi anemia,complementation group B	XL	Pediatric
FANCC	Fanconi anemia, complementation group C	AR	Pediatric
FANCD2	Fanconi anemia, complementation group D2	AR	Pediatric
FANCE	Fanconi anemia, complementation group E	AR	Pediatric
FANCF	Fanconia anemia, complementation group F	AR	Pediatric
FANCG	Fanconi anemia type G	AR	Pediatric
FANCI	Fanconi anemia, complementation group I	AR	Pediatric
FANCL	Fanconi anemia type L	AR	Pediatric
FANCM	Fanconi anemia type M	AR	Pediatric
FARS2	Combined oxidative phosphorylation deficiency 14	AR	N/A
FAS	Autoimmune lymphoproliferative syndrome, type IA	AD/AR	Pediatric
FASLG	Autoimmune lymphoproliferative syndrome, type IB	AD	Pediatric
FASTKD2	Mitochondrial complex IV deficiency	AR	N/A
FAT4	Hennekam lymphangiectasia-lymphedema syndrome 2	AR	Pediatric
FBLN1	Synpolydactyly 2	AD	N/A
FBLN5	Macular degeneration, age-related 3; Cutis laxa, autosomal dominant 2; Cutis laxa, autosomal recessive, type IA	AD/AR	N/A
FBN1	Marfan syndrome; MASS syndrome; Shprintzen-Goldberg syndrome	AD	Pediatric
FBN2	Congenital contractural arachnodactyly (Beals syndrome)	AD	Pediatric
FBP1	Fructose-1,6-bisphosphatase deficiency	AR	Pediatric
FBXL4	Mitochondrial DNA depletion syndrome 13	AR	N/A
FBXO31	Mental retardation 45, autosomal recessive	AR	N/A
FBXO38	Neuronopathy, distal hereditary motor, type IID	AD	N/A
FBXO7	Parkinson disease 15, autosomal recessive	AR	N/A
FCGR3A	Immunodeficiency 20	AR	Pediatric
FCMTE2	Epilepsy, myoclonic, adult familial, 2	AD	N/A
FCN3	Immunodeficiency due to Ficolin 3 deficiency	AR	Pediatric
FDPS	Porokeratosis 9	AD	N/A
FECH	Protoporphyria, erythropoietic	AD/AR	Pediatric
FERMT1	Kindler syndrome	AR	Adult
FERMT3	Leukocyte adhesion deficiency, type III	AR	Pediatric
FEZF1	Hypogonadotropic hypogonadism 22 with or without anosmia	AR	Pediatric
FGA	Afibrinogenemia, congenital; Dysfibrinogenemia, congenital; Hypodysfibrinogenemia, congenital; Familial visceral amyloidosis	AD/AR	Pediatric
FGB	Afibrinogenemia, congenital; Dysfibrinogenemia, congenital; Hypodysfibrinogenemia, congenital	AD/AR	Pediatric
FGD1	Aarskog-Scott syndrome; Mental retardation, X-linked syndromic 16	XL	N/A
FGD4	Charcot-Marie-Tooth disease, type 4H	AR	N/A
FGF10	Lacrimoauriculodentodigital syndrome	AD	Pediatric
FGF14	Spinocerebellar ataxia 27	AD	N/A
FGF16	Metacarpal 4-5 fusion	XL	N/A
FGF17	Hypogonadotropic hypogonadism 20, with or without anosmia	AD/Multigenic	Pediatric
FGF20	Renal hypodysplasia/aplasia 2	AR	N/A
FGF23	Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic	AD/AR	Pediatric
FGF3	Deafness, congenital with inner ear agenesis, microtia, and microdontia	AR	Pediatric
FGF5	Trichomegaly	AR	N/A
FGF8	Hypogonadotropic hypogonadism 6, with or without anosmia	AD/Digenic	Pediatric
FGF9	Multiple synostoses syndrome 3	AD	N/A
FGFR1	Hypogonadotropic hypogonadism 2 with or without anosmia; Trigonocephaly 1; Jackson-Weiss syndrome; Pfeiffer syndrome	AD/Digenic/Multigenic	Pediatric
FGFR2	Lacrimoauriculodentodigital syndrome; Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis; Sraniofacial-skeletal-dermatological dysplasia; Crouzon syndrome; Jackson-Weiss syndrome; Pfeiffer syndrome; Apert syndrome; Beare-Stevenson cutis gyrata syndrome	AD	Pediatric
FGFR3	Camptodactyly, tall stature, and hearing loss (CATSHL) syndrome; Crouzon syndrome with acanthosis nigricans; Lacrimoauriculodentodigital syndrome (AD); Muenke syndrome	AD/AR	Pediatric
FGG	Afibrinogenemia, congenital; Dysfibrinogenemia, congenital; Hypodysfibrinogenemia, congenital; Hypodysfibrinogenemia	AD/AR	Pediatric
FH	Hereditary leiomyomatosis and renal cell cancer	AD	Pediatric
FHL1	Reducing bod myopathy, X-linked 1A, with infantile or early childhood onset; Reducing bod myopathy, X-linked 1B, with late childhood or adult onset; Emery-Dreifuss muscular dystrophy 6, X-linked; Myopathy, X-linked, with postural muscle atrophy	XL	Pediatric
FIG4	Amyotrophic lateral sclerosis 11; Charcot-Marie Tooth disease, autosomal recessive, type 4J; Polymicrogyria, bilateral occipital; Yunis-Varon syndrome	AD/AR	N/A
FIGLA	Premature ovarian failure 6	AD	Pediatric
FKBP10	Osteogenesis imperfecta, type XI; Bruck syndrome 1	AR	N/A
FKBP14	Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss	AR	Pediatric
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5; Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	AR	Pediatric
FKTN	Cardiomyopathy, dilated, 1X; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4; Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	AD/AR	Pediatric
FLCN	Birt-Hogg-Dube syndrome; Pneumothorax, primary spontaneous 	AD	Adult
FLG	Icthyosis vulgaris	AD/AR	N/A
FLI1	Thrombocytopenia, Paris-Trousseau type	AD	Pediatric
FLNA	Cardiac valvular dysplasia, X-linked; Heterotopia, periventricular, Ehlers-Danlos variant;  Intestinal pseudoobstruction, neuronal, X-linked/Congenital short bowel syndrome	XL	Pediatric
FLNB	Larsen syndrome; Spondylocarpotarsal synostosis syndrome; Boomerang dysplasia; Atelosteogenesis, type I; Atelosteogenesis, type III	AD/AR	Pediatric
FLNC	Myopathy, distal, 4; Myopathy, myofibrillar, 5	AD	Adult
FLRT3	Hypogonadotropic hypogonadism 21, with or without anosmia	AD/Digenic/Multigenic	Pediatric
FLT4	Lymphedema, hereditary I (Milory disease)	AD/AR	Pediatric
FLVCR1	Ataxia, posterior column, with retinitis pigmentosa	AR	N/A
FLVCR2	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	N/A
FMN2	Mental retardation, autosomal recessive, 47	AR	N/A
FMO3	Trimethylaminuria	AR	Pediatric
FMR1	Premature ovarian failure	XL	Pediatric
FN1	Glomerulopathy with fibronectin deposits 2	AD	N/A
FOLR1	Cerebral folate deficiency	AR	Pediatric
FOXC1	Peters anomaly; Axenfeld-Rieger syndrome, type 3; Iridogoiodysgenesis, type 1	AD	Adult
FOXC2	Lymphedema-distichiasis syndrome	AD	N/A
FOXE1	Thyroid cancer, nonmedullary 4; Hypothyroidism, thyroidal, with spiky hair and cleft palate (Bamforth-Lazarus syndrome); Congenital hypothyroidism	AD/AR	Pediatric/Adult
FOXE3	Aphakia, congenital primary; Anterior segment mesenchymal dysgenesis	AR/AD	N/A
FOXF1	Alveolar capillary dysplasia with misalignment of pulmonary veins	AD	N/A
FOXG1	Rett syndrome, congenital variant	AD	N/A
FOXH1	Holoprosencephaly; Congenital heart malformations	AD	N/A
FOXI1	Enlarged vestibular aqueduct; Pendred syndrome	AD	Pediatric
FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1; Blepharophimosis, epicanthus inversus, and ptosis, type 2; Premature ovarian failure 3	AD	Pediatric
FOXN1	T-cell immunodeficiency, congenital alopecia, and nail dystrophy	AR	Pediatric
FOXP1	Mental retardation with language impairment and autistic features	AD	N/A
FOXP2	Speech-language disorder 1	AD	N/A
FOXP3	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked (IPEX)	XL	Pediatric
FOXRED1	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A
FRAS1	Fraser syndrome	AR	N/A
FREM1	Bifid nose with or without anorectal and renal anomalies; Trigonocephaly 2; Manitoba oculotrichoanal syndrome; Congenital diaphragmatic hernia, autosomal recessive	AD/AR	N/A
FREM2	Fraser syndrome	AR	N/A
FRMD7	Nystagmus, infantile periodic alternating, X-linked	XL	N/A
FSCN2	Retinitis pigmentosa 30	AD	N/A
FSHB	Hypogonadotropic hypogonadism 24 without anosmia	AR	Pediatric
FSHMD1A	Facioscapulohumeral muscular dystrophy 1A	AD/AR	Pediatric
FSHR	Ovarian hyperstimulation syndrome; Ovarian dysgenesis 1	AD/AR	Pediatric
FTCD	Glutamate formiminotransferase deficiency	AR	N/A
FTH1	Hemochromatosis, type 5	AD	Pediatric
FTL	L-ferritin deficiency; Neurodegeneration with brain iron accumulation 3; Hyperferritinemia-cataract syndrome	AD/AR	N/A
FTO	Growth retardation, developmental delay, coarse facies, and early death	AR	N/A
FTSJ1	Mental retardation, X-linked 9	XL	N/A
FUCA1	Fucosidosis	AR	N/A
FUS	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia; Essential tremor	AD/AR	N/A
FUT1	Bombay phenotype; Para-Bombay phenotype; H-deficient blood group; Reunion variant	BG	Pediatric
FUT3	Blood group, Lewis	AD	Pediatric
FUT6	Fucosyltransferase 6 deficiency	AR	N/A
FUZ	Neural tube defects, susceptibility to	AD	N/A
FXN	Friedreich ataxia	AR	Pediatric
FXYD2	Hypomagnesemia 2, renal	AD	Pediatric
FYCO1	Cataract, autosomal recessive congenital 2	AR	N/A
FZD4	Exudative vitreoretinopathy 1; Retinopathy of prematurity	AD/Digenic	N/A
FZD6	Nail disorder, nonsyndromic noncongenital 10	AR	N/A
G6PC	Glycogen storage disease Ia	AR	Pediatric
G6PC3	Neutropenia, severe congenital, 4, autosomal recessive; Dursun syndrome	AR	Pediatric
G6PD	Glucose-6-phosphate dehydrogenase deficiency	XL	Pediatric
GAA	Glycogen storage disease II	AR	Pediatric
GABRA1	Epilepsy, juvenile myoclonic, susceptibility to, 5; Epilepsy, childhood absence, susceptibility to, 4; Epileptic encephalopathy, early infantile 19	AD	N/A
GABRB3	Epilepsy, childhood absence, susceptibility to, 5	AD	N/A
GABRG2	Dravet syndrome; Generalized epilepsy with febrile seizures plus, type 3; Familial febrile seizures 8; Epilepsy, childhood absence, susceptibility to, 2	AD	N/A
GAD1	Cerebral palsy, spastic quadriplegic, 1	AR	N/A
GAL	Epilepsy, familial temporal lobe, 8	AD	N/A
GALC	Krabbe disease	AR	Pediatric
GALE	Galactose epimerase deficiency	AR	Pediatric
GALK1	Galactokinase deficiency	AR	Pediatric
GALNS	Mucopolysaccharidosis IVA (Morquio syndrome A)	AR	Pediatric
GALNT12	Colorectal cancer, susceptibility to, 1	AD	Adult
GALNT3	Tumoral calcinosis, hyperphosphatemic	AR	Pediatric
GALT	Galactosemia	AR	Pediatric
GAMT	Guanidinoacetate methyltransferase deficiency	AR	Pediatric
GAN	Giant axonal neuropathy 1, autosomal recessive	AR	N/A
GARS	Charcot-Marie-Tooth disease, type 2D; Neuropathy, distal hereditary motor, type V 	AD	N/A
GAS1	Holoprosencephaly 4	AD	N/A
GATA1	Thrombocytopenia with beta-thalessemia, X-linked; Anemia, X-linked, without thrombocytopenia; Dyserythropoietic anemia with thrombocytopenia	XL	Pediatric
GATA2	Immunodeficiency 21; Emberger syndrome; Myelodysplastic syndrome; Acute myeloid leukemia, familial; Chronic neutropenia associated with monocytopenia, evolving to myelodysplasia and acute myeloid leukemia	AD	Pediatric
GATA3	Hypoparathyroidism, sensorineural deafness, and renal dysplasia	AD	Pediatric
GATA4	Atrioventricular septal defect 4; Ventricular septal defect 1; Atrial septal defect 2; Testicular anomalies with or without congenital heart disease; Tetralogy of Fallot	AD	Pediatric
GATA6	Heart defects, congenital, and other congenital anomalies	AD	Pediatric
GATAD1	Cardiomyopathy, dilated, 2B	AR	Adult
GATAD2B	Mental retardation, autosomal dominant, 18	AD	N/A
GATM	Arginine:glycine amidinotransferase deficiency	AR	Pediatric
GBA	Gaucher disease	AR	Pediatric
GBA2	Cerebellar ataxia with spasticity, autosomal recessive 	AR	N/A
GBE1	Glycogen storage disease IV	AR	Pediatric
GCDH	Glutaric aciduria, type I	AR	Pediatric
GCH1	Hyperphenylalaninemia, BH4-deficient, B; Autosomal Recessive Dopa-Responsive Dystonia with or without Hyperphenylalaninemia; GTP Cyclohydrolase 1-Deficient Dopa-Responsive Dystonia	AD/AR	Pediatric
GCK	Diabetes mellitus, permanent neonatal; Hyperinsulinemic hypoglycemia, familial 3	AD/AR	Pediatric
GCLC	Gamma-glutamylcysteine synthetase deficiency	AR	Pediatric
GCM2	Hypoparathyroidism, familial isolated	AD/AR	Pediatric
GCNT2	Blood group, Ii; Adult i phenotype without cataract; Cataract 13 with adult i phenotype	BG/AR	Pediatric
GCSH	Glycine encephalopathy	AR	Pediatric
GDAP1	Charcot-Marie-Tooth disease, recessive intermediate, A; Charcot-Marie-Tooth disease, axonal, with vocal cord paresis; Charcot-Marie-Tooth disease, axonal, type 2K; Charcot-Marie-Tooth disease, type 4A	AD/AR	N/A
GDF1	Transposition of the great arteries, dextro-looped 3; Double-outlet right ventricle	AD	N/A
GDF2	Hereditary hemorrhagic telangiectasia, type 5	AD	Pediatric
GDF3	Microphthalmia, isolated 7; Microphthalmia, isolated, with coloboma 6; Klippel-Feil syndrome 3, autosomal dominant; Coloboma, ocular	AD	N/A
GDF5	Acromesomelic dysplasia, Hunter-Thompson type; Fibular hypoplasia and complex brachydactyly; Multiple synostoses syndrome 2; Chondrodysplasia, Grebe type; Symphalangism, proximal 1B; Brachydactyly, type A1; Brachydactyly, type A1, C; Brachydactyly, type A2; Brachydactyly, type C	AD/AR	N/A
GDF6	Microphthalmia, isolated 4; Microphthalmia, isolated, with coloboma 6; Coloboma, ocular; Klippel-Feil syndrome 1, autosomal dominant; Leber congenital amaurosis 17	AD/AR	N/A
GDI1	Mental retardation, X-linked 41	XL	N/A
GDNF	Central hypoventilation syndrome; Hirschsprung disease, susceptibility to, 3	AD	Pediatric
GFAP	Alexander disease	AD	N/A
GFER	Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay 	AR	N/A
GFI1	Neutropenia, severe congenital, 2 autosomal dominant; Neutropenia, nonimmune chronic idiopathic, of adults 	AD	Pediatric
GFI1B	Bleeding disorder, platelet-type, 17	AD	Pediatric
GFM1	Combined oxidative phosphorylation deficiency 1	AR	N/A
GFPT1	Myasthenic syndrome, congenital 12	AR	Pediatric
GGCX	Vitamin K-dependent clotting factors, combined deficiency of, 1; Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency	AD/AR/Digenic	Pediatric
GH1	Isolated growth hormone deficiency, isolated, type IA; Isolated growth hormone deficiency, type 1B; Growth hormone deficiency, isolated, type II; Kowarski syndrome	AD/AR	Pediatric
GHR	Growth hormone insensitivity syndrome (Laron syndrome)	AD/AR	Pediatric
GHRHR	Isolated growth hormone deficiency, type 1B	AR	Pediatric
GHSR	Short stature	AD/AR	N/A
GIF	Intrinsic factor deficiency	AR	Pediatric
GIGYF2	Parkinson disease, autosomal dominant, 11	AD	N/A
GIPC3	Deafness, autosomal recessive 15	AR	Pediatric
GJA1	Oculodentodigital dysplasia, autosomal dominant	AD	Pediatric
GJA3	Cataract 14, multiple types	AD	N/A
